Accession,Gene
IPI00002524,KCNJ14
IPI00002525,NENF
IPI00002526,DSE
IPI00002528,XCL2
IPI00002534,PURG
IPI00002535,FKBP2
IPI00002536,SESN1
IPI00002538,PDPK1
IPI00002540,CRY1
IPI00002543,PCOLCE2
IPI00002545,PNMA3
IPI00002547,CAPN6
IPI00002548,STON1
IPI00002549,ANAPC2
IPI00002551,ANAPC4
IPI00002552,AP1M2
IPI00002557,CHD3;LOC732272;SNORA69;COPG2
IPI00002560,NUMBL
IPI00002564,XRCC1
IPI00002569,EIF4EBP1
IPI00002570,EIF4EBP2
IPI00002580,PIK3C2A
IPI00002585,B3GAT1
IPI00002590,DGKB
IPI00002591,PI4KB
IPI00002594,PLAG1
IPI00002596,MTMR8
IPI00002602,RNF32
IPI00002606,SCIN
IPI00002612,ZNF219
IPI00002614,UVRAG
IPI00002618,ABCD2
IPI00002624,PLRG1
IPI00002644,RABL2A
IPI00002646,UXT
IPI00002649,PNN
IPI00002654,ARL2BPP3
IPI00002657,CPNE7
IPI00002666,POU2F2
IPI00002678,OPTC
IPI00002685,CACNG4
IPI00002689,TRPC4
IPI00002692,C6orf123
IPI00002702,INGX
IPI00002707,SPAST
IPI00002714,DKK3
IPI00002732,EXTL2
IPI00002745,CTSZ
IPI00002747,LHX3
IPI00002756,GABBR1
IPI00002771,DKK4
IPI00002773,JAK3
IPI00002779,DKK2
IPI00002790,SEL1L
IPI00002791,WNT16
IPI00002792,B4GALT7
IPI00002802,LOX
IPI00002803,PKN1
IPI00002804,PKN2
IPI00002806,TAF12
IPI00002807,ACCN1
IPI00002808,NNAT
IPI00002815,HESX1
IPI00002816,CTSF
IPI00002818,KLK11
IPI00002824,CSRP2
IPI00002828,MLF1IP
IPI00002831,SAP30L
IPI00002832,LINC00341
IPI00002841,SLC9A2
IPI00002848,SNAPC1
IPI00002849,ELK4
IPI00002850,HLF
IPI00002851,CST5
IPI00002852,PEX2
IPI00002853,PPP2R5E
IPI00002856,STEAP4
IPI00002857,MAPK14
IPI00002876,HTR2C
IPI00002877,PMS2P4
IPI00002878,NMBR
IPI00002879,C14orf169
IPI00002880,ZMAT4
IPI00002881,BCL2A1
IPI00002884,C17orf101
IPI00002885,BBS1
IPI00002886,C11orf80
IPI00002894,POLD1
IPI00002895,SUPT4H1
IPI00002897,GABRA3
IPI00002898,IL17A
IPI00002899,LY6E
IPI00002901,TEAD1
IPI00002902,NOL9
IPI00002903,PSG3
IPI00002906,TAL2
IPI00002910,IGFLR1
IPI00002919,DIRAS1
IPI00002922,TBL1XR1
IPI00002925,CARTPT
IPI00002926,VPS37B
IPI00002928,ANKRD55
IPI00002929,SUV39H2
IPI00002935,DNMT3L
IPI00002938,ABT1
IPI00002939,MSX1
IPI00002940,DARC
IPI00002946,GJC1
IPI00002948,LIN28A
IPI00002954,LPHN1
IPI00002957,TBC1D17
IPI00002966,HSPA4
IPI00002968,MOCS2
IPI00002970,SGCB
IPI00002975,ZBBX
IPI00002976,CCNG2
IPI00002978,CXorf36
IPI00002984,NPC1L1
IPI00002993,TAF9
IPI00003001,BAHCC1
IPI00003003,ZNF385D
IPI00003004,SLC25A22
IPI00003009,ZNF750
IPI00003010,SMPD3
IPI00003012,C16orf5
IPI00003016,STRN4
IPI00003021,ATP1A2
IPI00003025,DHRS12
IPI00003027,GEMIN7
IPI00003030,C1orf115
IPI00003031,ISOC2
IPI00003035,C15orf29
IPI00003044,NRG2
IPI00003048,HTR7
IPI00003052,GRTP1
IPI00003053,ARMC9
IPI00003057,MICALL2
IPI00003058,IL3RA
IPI00003060,CNR2
IPI00003065,TRHR
IPI00003067,OR1D2
IPI00003072,IFNA13;IFNA1
IPI00003074,IFNA10
IPI00003075,IFNA7
IPI00003077,IFNA5
IPI00003081,PTGER1
IPI00003083,CRHR1
IPI00003084,DRAP1
IPI00003086,IFNA14
IPI00003087,IFNA17
IPI00003088,IFNB1
IPI00003091,PPP1R3A
IPI00003096,IL1A
IPI00003099,IL2
IPI00003101,IL2RA
IPI00003102,CNTFR
IPI00003110,GFI1B
IPI00003111,LOC652694
IPI00003128,P4HA2
IPI00003131,SEC22C
IPI00003145,MAPK8
IPI00003148,MAPK10
IPI00003168,PRPSAP2
IPI00003169,CHMP1A
IPI00003176,HTRA1
IPI00003191,NUDT13
IPI00003199,PSG9
IPI00003217,PSMB7
IPI00003221,ANKRD19P
IPI00003269,ACTBL2
IPI00003271,ZNF684
IPI00003293,DGKE
IPI00003307,BOK
IPI00003309,POLR2H
IPI00003310,POLR2J
IPI00003311,POLR2L
IPI00003318,ZNHIT2
IPI00003320,C11orf10
IPI00003325,TCF7
IPI00003326,ARL2
IPI00003327,ARL3
IPI00003328,TRIM23
IPI00003330,C11orf20
IPI00003337,ZNF239
IPI00003340,PMS2P3
IPI00003341,NFYC
IPI00003348,GNB2
IPI00003351,ECM1
IPI00003353,C5orf13
IPI00003354,AANAT
IPI00003355,NKG7
IPI00003357,CTF1
IPI00003362,HSPA5
IPI00003363,PPP1R1B
IPI00003365,ADAM18
IPI00003366,NTRK2
IPI00003367,NFE2
IPI00003369,LIMD1
IPI00003370,STX1A
IPI00003373,OCLN
IPI00003375,CCL14-CCL15;CCL14
IPI00003377,SRSF7
IPI00003384,CELSR1
IPI00003386,RBX1
IPI00003389,SLC25A15
IPI00003391,ODZ1
IPI00003392,TMEM5
IPI00003394,SMN2;SMN1
IPI00003400,CD37
IPI00003402,CLEC4M
IPI00003406,DBN1
IPI00003411,PTGIS
IPI00003419,C11orf58
IPI00003420,MAPRE2
IPI00003421,TBR1
IPI00003425,PDK4
IPI00003426,MLANA
IPI00003427,TRPV6
IPI00003428,NRF1
IPI00003431,MAPK6
IPI00003437,GUCA2B
IPI00003438,DNAJC8
IPI00003440,CCL15
IPI00003441,C1orf9
IPI00003442,HIF1A
IPI00003443,IFI16
IPI00003445,CDKN3
IPI00003446,AMHR2
IPI00003448,MIA
IPI00003449,FOXD1
IPI00003451,CYP1B1
IPI00003455,TMEM48
IPI00003467,GABRB3
IPI00003478,DUSP5
IPI00003479,MAPK1
IPI00003480,CYP2A13
IPI00003482,DECR1
IPI00003483,NEURL
IPI00003484,SLC6A5
IPI00003494,PTTG1
IPI00003495,MFHAS1
IPI00003501,S1PR2
IPI00003503,ZNF235
IPI00003505,TRIP13
IPI00003515,TRIP11
IPI00003519,EFTUD2
IPI00003527,SLC9A3R1
IPI00003531,CD101
IPI00003542,TMPRSS11D
IPI00003562,MED7
IPI00003564,LY86
IPI00003565,PSMD10
IPI00003566,HOMER1
IPI00003571,CABP1
IPI00003579,SARDH
IPI00003584,KIAA1257
IPI00003588,EEF1E1
IPI00003589,CHD1L
IPI00003590,QSOX1
IPI00003591,CYTIP
IPI00003606,RNF14
IPI00003627,ACTL6A
IPI00003635,ERGIC1
IPI00003647,RAD1
IPI00003648,PVRL1
IPI00003704,RBM4;RBM14;RBM14-RBM4
IPI00003706,RBMS2
IPI00003739,DDX49
IPI00003750,MCOLN1
IPI00003765,CAPN7
IPI00003766,ETHE1
IPI00003768,PES1
IPI00003774,TGDS
IPI00003780,SMUG1
IPI00003783,MAP2K2
IPI00003784,ZNF76
IPI00003789,NAT9
IPI00003793,KLHDC2
IPI00003798,ZNF282
IPI00003799,HEBP2
IPI00003801,PATZ1
IPI00003802,MAN2A1
IPI00003807,ACP2
IPI00003813,CADM1
IPI00003814,MAP2K6
IPI00003815,ARHGDIA
IPI00003817,ARHGDIB
IPI00003818,KYNU
IPI00003819,SLC7A2
IPI00003824,PPIL2
IPI00003827,PISD
IPI00003831,ATP2B3
IPI00003833,MTCH2
IPI00003834,FJX1
IPI00003835,CD300C
IPI00003836,UGT2B10
IPI00003842,MAP2
IPI00003843,TJP2
IPI00003847,ZNF324
IPI00003848,DNAJB4
IPI00003856,ATP6V1E1
IPI00003858,CHRNA7
IPI00003859,KIF25-AS1
IPI00003861,UGCG
IPI00003865,HSPA8
IPI00003867,LCE2B
IPI00003869,CLEC4E
IPI00003870,CLPP
IPI00003871,PCDHGA1
IPI00003881,HNRNPF
IPI00003882,LIPC
IPI00003884,PCDHGA4
IPI00003885,PCDHGA5
IPI00003886,SNORD19B;GNL3
IPI00003887,PCDHGA6
IPI00003888,PCDHGA7
IPI00003889,PCDHGA9
IPI00003893,PCDHGB3
IPI00003894,RNF11
IPI00003896,PCDHGB5
IPI00003897,PCDHGB6
IPI00003898,GPR160
IPI00003904,PCDHGB7
IPI00003905,SLC2A2
IPI00003907,PCDHGC5
IPI00003909,SLC2A3
IPI00003915,ZBTB32
IPI00003917,ARR3
IPI00003918,RPL4
IPI00003919,QPCT
IPI00003921,EPB41
IPI00003922,C1orf38
IPI00003923,UMPS
IPI00003925,PDHB
IPI00003926,CLN8
IPI00003927,PPID
IPI00003928,DUSP1
IPI00003929,GSTA3
IPI00003932,HTR1E
IPI00003933,HAGH
