Accession,Protein
IPI00303707,Q8NH72
IPI00303717,Q8NGX6
IPI00303722,Q96C01
IPI00303725,Q8NGX9
IPI00303726,Q01628
IPI00303732,Q5JX71
IPI00303746,Q96C10
IPI00303753,Q96BR5
IPI00303760,Q93084
IPI00303764,Q8NH92
IPI00303770,Q8NGZ5
IPI00303771,Q8NGZ6
IPI00303783,Q86SR1
IPI00303797,P15056
IPI00303812,Q9H8G2
IPI00303813,Q9H8H0
IPI00303831,Q96C74
IPI00303832,Q92541
IPI00303859,Q8NHA8
IPI00303862,Q96JN2
IPI00303867,Q9H8M9
IPI00303868,P13807
IPI00303869,O15527
IPI00303875,O75486
IPI00303882,O60664
IPI00303887,Q8NHC4
IPI00303890,P98170
IPI00303891,Q8NHC8
IPI00303894,P98173
IPI00303912,Q8NFT6
IPI00303932,Q96EW2
IPI00303944,Q96CB9
IPI00303954,O43169
IPI00303962,Q96CD2
IPI00303963,P06681
IPI00303966,Q9H8W2
IPI00303972,Q8NEM8
IPI00303980,Q9H972
IPI00303991,Q9H972
IPI00303992,Q9H8Y1
IPI00303999,P29590
IPI00304000,P29590
IPI00304022,Q8NHQ1
IPI00304025,O14986
IPI00304028,Q08999
IPI00304030,P18433
IPI00304048,Q9BUB5
IPI00304056,Q8NI29
IPI00304064,Q8NI35
IPI00304069,Q96CM3
IPI00304071,Q96CM8
IPI00304082,Q96CN7
IPI00304150,Q96D21
IPI00304171,O75367
IPI00304181,Q9H9G7
IPI00304186,Q9H4B4
IPI00304187,Q9NW13
IPI00304189,Q96CV9
IPI00304198,Q96CW6
IPI00304214,Q9NWS6
IPI00304218,Q9GZK6
IPI00304219,Q9GZK3
IPI00304223,Q96S06
IPI00304227,P55287
IPI00304232,Q9GZL7
IPI00304235,P21359
IPI00304246,Q6IA86
IPI00304253,O75800
IPI00304264,Q9GZP9
IPI00304267,Q6DKJ4
IPI00304273,P06727
IPI00304285,Q9H9R9
IPI00304288,Q9GZS0
IPI00304305,O95998
IPI00304306,Q96DA6
IPI00304324,Q96DB2
IPI00304331,O94766
IPI00304345,Q8TCT7
IPI00304363,Q9BQ31
IPI00304379,O94782
IPI00304389,Q96DT0
IPI00304409,Q9Y2V2
IPI00304417,O43837
IPI00304419,O43837
IPI00304431,Q9BQ65
IPI00304435,Q9BPW8
IPI00304442,Q9BWT3
IPI00304458,Q9C075
IPI00304461,Q9BPX7
IPI00304481,Q86WP2
IPI00304483,Q9BPZ3
IPI00304492,Q7L5A8
IPI00304493,Q8NEF9
IPI00304527,Q5T0W9
IPI00304533,Q9BY79
IPI00304540,Q5VSL9
IPI00304549,Q5JYT7
IPI00304554,Q6UWN5
IPI00304557,Q96DR5
IPI00304577,O95782
IPI00304578,P22455
IPI00304582,P22459
IPI00304587,A7MBM2
IPI00304588,O96024
IPI00304589,Q9C0C2
IPI00304594,P22460
IPI00304596,Q15233
IPI00304600,Q8NCB2
IPI00304612,P40429
IPI00304621,Q9C0D4
IPI00304639,P11532
IPI00304648,Q32MK0
IPI00304655,Q9C0F1
IPI00304660,Q6FIF0
IPI00304666,Q96DW6
IPI00304670,Q8NDX1
IPI00304676,Q6P9B9
IPI00304691,Q96DX8
IPI00304692,P38159
IPI00304693,P52594
IPI00304706,Q96QP1
IPI00304710,Q2M3C7
IPI00304721,Q96SM3
IPI00304740,Q15811
IPI00304742,O94804
IPI00304754,Q9BQL6
IPI00304755,P35240
IPI00304787,Q58G82
IPI00304803,P36959
IPI00304804,Q6UXT9
IPI00304806,P57054
IPI00304808,P06870
IPI00304814,P36969
IPI00304817,O94885
IPI00304840,P12110
IPI00304865,Q03167
IPI00304866,Q03169
IPI00304875,Q9BW71
IPI00304876,Q6IPT2
IPI00304877,Q5T8I9
IPI00304885,Q03188
IPI00304892,Q6P4E1
IPI00304895,Q96EN8
IPI00304903,P22528
IPI00304911,P15313
IPI00304918,Q96F05
IPI00304922,Q9BRA0
IPI00304925,P08107
IPI00304926,Q2TAZ0
IPI00304932,O43159
IPI00304935,Q96ER3
IPI00304938,Q9H633
IPI00304942,Q92630
IPI00304949,P22557
IPI00304958,Q8TBB5
IPI00304962,P08123
IPI00304967,O43174
IPI00304972,Q01954
IPI00304986,O43187
IPI00304992,Q96F45
IPI00304993,Q96F46
IPI00304999,Q01974
IPI00305010,Q9BRF8
IPI00305013,O95684
IPI00305018,Q6E0U4
IPI00305020,Q9BRG2
IPI00305022,P15382
IPI00305031,P15391
IPI00305036,Q99250
IPI00305042,Q96EZ4
IPI00305064,P16070
IPI00305068,O94906
IPI00305086,Q9BRP0
IPI00305091,Q9BRP7
IPI00305092,Q9BRP8
IPI00305144,Q9Y5U2
IPI00305152,O94979
IPI00305163,Q9BRT8
IPI00305166,P31040
IPI00305185,Q9BRV3
IPI00305186,Q9BRV8
IPI00305192,Q8TEW8
IPI00305212,Q9P000
IPI00305218,Q9BS91
IPI00305221,Q96Q11
IPI00305227,P28329
IPI00305242,Q14790
IPI00305252,P51797
IPI00305254,Q09013
IPI00305258,Q5VT66
IPI00305267,Q08378
IPI00305279,Q01484
IPI00305281,Q9BSA4
IPI00305282,Q92878
IPI00305283,O43255
IPI00305286,P15428
IPI00305289,P52732
IPI00305296,Q9BSB4
IPI00305303,Q9NUQ7
IPI00305304,Q96G23
IPI00305305,Q96FS4
IPI00305316,P52747
IPI00305337,P22670
IPI00305344,Q6WCQ1
IPI00305348,Q9BSG1
IPI00305356,P22680
IPI00305360,Q9BSE5
IPI00305368,P11161
IPI00305374,Q96FV9
IPI00305380,P22692
IPI00305383,P22695
IPI00305384,Q96G61
IPI00305416,Q9NV29
IPI00305423,Q96FZ7
IPI00305425,Q6UX98
IPI00305430,Q9BSJ6
IPI00305438,Q9H269
IPI00305439,Q9H269
IPI00305442,Q9BSL1
IPI00305452,Q9BSN7
IPI00305461,P19823
IPI00305477,P01037
IPI00305486,P49418
IPI00305490,Q9BT25
IPI00305491,P48454
IPI00305518,Q96GE4
IPI00305536,Q9BSW7
IPI00305539,Q63HQ0
IPI00305545,Q9UK59
IPI00305551,P29992
IPI00305559,Q10586
IPI00305585,P00973
IPI00305589,O60825
IPI00305598,Q8TBB1
IPI00305608,Q3SY52
IPI00305609,A0AVI4
IPI00305610,Q96GP6
IPI00305613,Q05516
IPI00305620,Q9Y6E7
IPI00305622,P22735
IPI00305626,Q5U4P2
IPI00305627,Q96GQ5
IPI00305656,Q96H22
IPI00305668,P82932
IPI00305692,O43396
IPI00305698,P38435
IPI00305703,Q9Y6M0
IPI00305715,Q96H72
IPI00305733,Q96GZ6
IPI00305734,Q96H96
IPI00305750,P20810
IPI00305822,Q96HE9
IPI00305827,Q9BTV5
IPI00305833,Q2TAY7
IPI00305850,P31271
IPI00305856,P31277
IPI00305858,Q9BU70
IPI00305868,Q96HH9
IPI00305877,Q16385
IPI00305887,Q9BZD4
IPI00305894,Q8WXI4
IPI00305912,Q96HP8
IPI00305945,Q9BUB4
IPI00305975,Q9BUD6
IPI00305978,O43488
IPI00305986,Q9BUE0
IPI00305990,Q9UHV2
IPI00305992,Q96I51
IPI00306017,Q96SY0
IPI00306043,Q9Y5A9
IPI00306046,O43854
IPI00306048,Q5T9A4
IPI00306049,Q9BUK6
IPI00306056,Q9BUL9
IPI00306057,Q9H0Z9
IPI00306087,Q9BUR4
IPI00306123,O76074
IPI00306127,Q9BV44
IPI00306129,P01266
IPI00306130,Q96EX3
IPI00306137,P31358
IPI00306159,Q9BV79
IPI00306166,Q2KHT4
IPI00306170,Q99501
IPI00306173,P31391
IPI00306178,Q9BV94
IPI00306189,Q8WUI4
IPI00306195,Q96B36
IPI00306205,O43506
IPI00306207,Q6NXR4
IPI00306229,O43543
IPI00306237,Q96IQ9
IPI00306260,Q9BZE2
IPI00306265,O43572
IPI00306280,O43583
IPI00306290,O43592
IPI00306299,Q56P03
IPI00306305,O75147
IPI00306309,Q9BVG3
IPI00306311,P08567
IPI00306312,Q96SZ6
IPI00306322,P08572
IPI00306330,Q96IY1
IPI00306332,P83731
IPI00306343,Q96IZ5
IPI00306346,Q06710
IPI00306347,O75478
IPI00306353,Q9BVJ7
IPI00306354,Q9HB21
IPI00306369,Q08J23
IPI00306378,O00187
IPI00306380,Q9BVP2
IPI00306382,O14828
IPI00306383,O14828
IPI00306398,Q96RS6
IPI00306400,Q9BW19
IPI00306402,Q96JB6
IPI00306406,Q9BVS4
IPI00306413,Q9BW30
IPI00306419,Q6P1A2
IPI00306429,Q96JE9
IPI00306430,P50549
IPI00306436,P40763
IPI00306439,Q9BVV7
IPI00306440,Q9BVV8
IPI00306446,P17028
IPI00306452,Q9BVW5
IPI00306457,Q4ZHG4
IPI00306471,Q9BW85
IPI00306473,Q14938
IPI00306483,Q5T0F9
IPI00306505,O43609
IPI00306511,Q96JM7
IPI00306516,O43615
IPI00306518,Q9NVI1
IPI00306531,O43639
IPI00306543,Q99988
IPI00306576,P15848
IPI00306587,O43680
IPI00306604,P08648
IPI00306611,Q9BWF2
IPI00306640,Q9NS61
IPI00306642,Q9NV06
IPI00306643,Q9BXY4
IPI00306651,Q9BY21
IPI00306658,Q96MZ0
IPI00306661,Q9P0J7
IPI00306667,P09543
IPI00306671,Q9UKB1
IPI00306682,O94901
IPI00306683,Q9ULG6
IPI00306687,Q01344
IPI00306689,Q6IA69
IPI00306708,Q96KB5
IPI00306710,Q9H2X0
IPI00306718,Q9BX26
IPI00306720,P24310
IPI00306723,Q03701
IPI00306741,Q8NCR6
IPI00306748,O75027
IPI00306749,Q9BWU0
IPI00306756,Q03721
IPI00306774,Q9BX59
IPI00306778,P24347
IPI00306781,P47211
IPI00306791,Q9BX66
IPI00306794,Q9BX69
IPI00306825,O43399
IPI00306833,O75716
IPI00306835,O75072
IPI00306840,Q9BX95
IPI00306844,P24387
IPI00306845,O75081
IPI00306850,O75095
IPI00306853,Q7LGC8
IPI00306869,O43711
IPI00306871,Q92830
IPI00306878,P59046
IPI00306882,Q5TA45
IPI00306888,Q6PEY0
IPI00306903,Q96KQ4
IPI00306910,Q9HAC7
IPI00306912,Q9Y5X5
IPI00306933,Q13459
IPI00306934,Q9HAD4
IPI00306959,P08729
IPI00306960,O43776
IPI00306961,Q9BXC9
IPI00306984,Q96L42
IPI00306986,Q96L46
IPI00307008,Q5JQF7
IPI00307009,Q96KW2
IPI00307017,Q9UIQ6
IPI00307029,Q96IC2
IPI00307039,Q96L94
IPI00307065,Q9BXM7
IPI00307092,Q15046
IPI00307114,Q9BY12
IPI00307125,Q96LB8
IPI00307155,O75116
IPI00307162,P18206
IPI00307165,Q96LD4
IPI00307184,P01563
IPI00307189,P01568
IPI00307200,Q9UH65
IPI00307209,P01579
IPI00307214,O75952
IPI00307216,Q9HAY6
IPI00307219,Q9HB89
IPI00307223,P01584
IPI00307226,P01588
IPI00307230,Q5VYY2
IPI00307235,B0YJ81
IPI00307246,P05177
IPI00307257,Q66K14
IPI00307259,O75165
IPI00307273,Q96LI6
IPI00307276,O75173
IPI00307317,Q32M84
IPI00307320,Q6PEW0
IPI00307325,O43829
IPI00307334,Q9UBK8
IPI00307352,Q6S9Z5
IPI00307376,Q5TEJ8
IPI00307395,Q9BYC2
IPI00307409,Q9BYD2
IPI00307412,Q9BYD5
IPI00307418,Q9Y297
IPI00307430,Q9HBG6
IPI00307433,P08842
IPI00307446,Q9BYE9
IPI00307458,Q9HBH0
IPI00307466,P29508
IPI00307483,Q9HBI6
IPI00307485,P08861
IPI00307503,Q96M78
IPI00307524,Q9HBK9
IPI00307531,O43557
IPI00307535,Q96M94
IPI00307536,Q8IYF3
IPI00307545,Q9HBL0
IPI00307547,Q9HBL7
IPI00307551,Q9UL36
IPI00307553,Q6V1X1
IPI00307572,Q9HC07
IPI00307591,O15014
IPI00307592,Q9BZC7
IPI00307612,Q9HBT6
IPI00307619,Q9NR83
IPI00307621,Q9BYR2
IPI00307656,Q96MC6
IPI00307657,Q96MC9
IPI00307659,Q9HC52
IPI00307665,Q6AHZ1
IPI00307678,Q9NUG4
IPI00307680,Q96MD7
IPI00307683,Q9HC62
IPI00307688,Q8TF64
IPI00307729,O15072
IPI00307733,Q9BYW2
IPI00307734,Q9BYW3
IPI00307737,Q02297
IPI00307755,P54646
IPI00307757,Q9BZ71
IPI00307758,O00562
IPI00307760,Q8N5P1
IPI00307781,Q6WN34
IPI00307783,Q9BZ95
IPI00307791,Q96A59
IPI00307794,P24588
IPI00307805,O75293
IPI00307816,O43908
IPI00307820,Q96MM6
IPI00307829,Q0VF96
IPI00328082,A2RTX5
IPI00328089,Q5T1R4
IPI00328091,Q9HB63
IPI00328094,Q9BZS1
IPI00328097,Q96L92
IPI00328101,Q9BV36
IPI00328103,Q7Z3Y8
IPI00328110,Q8IUB9
IPI00328112,Q03519
IPI00328113,P35555
IPI00328115,Q8IZH2
IPI00328118,Q96R06
IPI00328123,Q9C000
IPI00328126,Q9UIG5
IPI00328128,P19086
IPI00328130,P13688
IPI00328131,Q15468
IPI00328142,O00204
IPI00328143,Q5VSY0
IPI00328144,Q6P1X5
IPI00328149,Q9BQI3
IPI00328150,Q9BQI3
IPI00328154,Q8TBC4
IPI00328155,Q8TBH0
IPI00328156,P27338
IPI00328159,Q8TCI5
IPI00328165,Q8IZ96
IPI00328170,Q13724
IPI00328172,A0AVF1
IPI00328178,Q6ZVM7
IPI00328180,Q9BZG1
IPI00328183,Q8ND04
IPI00328184,Q2M3G4
IPI00328185,Q8TE02
IPI00328195,Q8NFP9
IPI00328198,P47710
IPI00328200,Q2TAL8
IPI00328204,Q8WWF5
IPI00328206,Q08493
IPI00328207,Q8TF32
IPI00328209,Q86XK2
IPI00328211,Q86V15
IPI00328215,Q8WWZ8
IPI00328216,P49796
IPI00328218,Q86X29
IPI00328220,Q8WXB4
IPI00328224,Q16206
IPI00328228,Q15438
IPI00328230,Q01082
IPI00328236,Q96JC1
IPI00328241,O75916
IPI00328242,Q8IUQ4
IPI00328243,Q8IV08
IPI00328245,P11362
IPI00328246,Q8NC01
IPI00328253,P78415
IPI00328254,Q504Q3
IPI00328257,Q10567
IPI00328260,Q92636
IPI00328263,O43462
IPI00328266,Q8IVW6
IPI00328269,Q92570
IPI00328272,Q9C0B5
IPI00328273,Q08462
IPI00328276,Q96SZ6
IPI00328277,Q96SZ6
IPI00328278,Q96SZ6
IPI00328279,Q8IWW6
IPI00328282,Q86UN6
IPI00328285,Q9Y2K6
IPI00328286,O43526
IPI00328289,Q9UQL6
IPI00328291,Q8IYA6
IPI00328293,Q8IYB3
IPI00328296,Q8TF65
IPI00328298,Q9NTJ3
IPI00328299,Q8TE12
IPI00328301,Q8IYU4
IPI00328303,Q8IZ96
IPI00328304,Q8IZ96
IPI00328305,Q8IZ96
IPI00328306,O75152
IPI00328307,Q9NYP7
IPI00328308,A4D1E1
IPI00328309,Q8IZD4
IPI00328313,Q8IZR5
IPI00328317,Q7Z7G2
IPI00328319,Q09028
IPI00328322,Q15572
IPI00328328,Q14240
IPI00328342,Q9Y6M7
IPI00328350,Q9BZQ8
IPI00328354,Q9Y5V3
IPI00328361,Q9NP81
IPI00328365,P23945
IPI00328367,Q9Y6X6
IPI00328376,Q9H0M0
IPI00328377,Q9H0M0
IPI00328378,Q9H0M0
IPI00328385,Q5T124
IPI00328389,Q86SE8
IPI00328390,Q86SE9
IPI00328391,Q86SF2
IPI00328396,Q86SG5
IPI00328397,Q86SG6
IPI00328398,Q86SG7
IPI00328399,Q9HCF6
IPI00328400,Q86SH2
IPI00328409,Q5T2S8
IPI00328415,P00387
IPI00328418,P29374
IPI00328431,Q8IZJ1
IPI00328432,Q7Z602
IPI00328434,Q86SP6
IPI00328443,Q7Z3D6
IPI00328453,Q86T20
IPI00328460,Q86T26
IPI00328488,Q9Y2E5
IPI00328520,Q7Z6L0
IPI00328521,Q96RL1
IPI00328524,Q86TA4
IPI00328526,P56211
IPI00328534,Q86TD4
IPI00328540,Q9Y6K1
IPI00328544,Q5VV41
IPI00328550,P35443
IPI00328555,Q6ZSS7
IPI00328560,Q86TI4
IPI00328572,Q99502
IPI00328573,Q86TL0
IPI00328580,Q86TN4
IPI00328584,Q8N3C7
IPI00328589,Q8TEB1
IPI00328591,Q86U02
IPI00328598,Q9UIL8
IPI00328603,Q7Z6M2
IPI00328609,P29622
IPI00328616,Q86TS9
IPI00328626,Q86U37
IPI00328629,Q86V59
IPI00328631,Q8TEB1
IPI00328634,Q9H6D7
IPI00328636,Q86U44
IPI00328644,P21462
IPI00328650,Q7Z3D6
IPI00328653,Q8TAM2
IPI00328658,Q9UBL3
IPI00328659,Q9UBL3
IPI00328680,Q8NI22
IPI00328688,Q9UQR0
IPI00328700,Q1EHB4
IPI00328702,Q86UD0
IPI00328703,Q86UD1
IPI00328706,Q86UD4
IPI00328709,Q9H772
IPI00328711,Q96KC9
IPI00328712,Q53SZ7
IPI00328713,Q86UE3
IPI00328714,Q8N490
IPI00328715,Q86UE4
IPI00328716,Q86UE6
IPI00328717,Q9HBU9
IPI00328719,Q16348
IPI00328722,Q5TAH2
IPI00328729,Q9NQ69
IPI00328730,Q3SYC2
IPI00328731,Q14264
IPI00328737,Q86UK7
IPI00328744,Q03113
IPI00328745,Q86UN2
IPI00328746,Q86UN3
IPI00328749,Q9NUG4
IPI00328753,Q86UP2
IPI00328762,Q86UQ4
IPI00328765,Q8WXW3
IPI00328781,Q9UKV0
IPI00328783,Q86V25
IPI00328787,Q9NWF4
IPI00328793,Q12772
IPI00328794,Q86UT8
IPI00328795,Q6PIV2
IPI00328796,Q9UKB1
IPI00328798,Q86UU0
IPI00328801,Q86V42
IPI00328811,Q86UG4
IPI00328813,Q86TM3
IPI00328815,Q86UV5
IPI00328816,Q86UV6
IPI00328817,Q86UV7
IPI00328822,Q9GZT9
IPI00328824,Q86UW2
IPI00328825,Q86UW6
IPI00328826,Q86UW7
IPI00328828,Q4LE39
IPI00328829,Q86UX2
IPI00328832,Q9Y4E6
IPI00328835,Q86UX6
IPI00328838,O00255
IPI00328846,Q86UY5
IPI00328847,Q86UY6
IPI00328853,Q96KN4
IPI00328854,Q8N8E2
IPI00328867,P12931
IPI00328868,Q53T59
IPI00328871,Q9Y2T6
IPI00328876,Q86VE0
IPI00328878,Q86VE3
IPI00328879,Q86WK9
IPI00328880,Q8WYN0
IPI00328884,Q8TBN0
IPI00328885,Q86VF2
IPI00328886,Q86VF5
IPI00328890,Q9NNZ3
IPI00328904,Q86VI1
IPI00328905,Q86VI3
IPI00328909,Q9UBM1
IPI00328911,Q9ULT8
IPI00328915,Q86VK4
IPI00328918,Q96EV8
IPI00328921,Q9UBM1
IPI00328929,Q86VM9
IPI00328932,Q86VN1
IPI00328938,Q8WVD3
IPI00328939,Q8N5C7
IPI00328941,Q8N5D6
IPI00328943,Q96L15
IPI00328949,Q5JT82
IPI00328950,Q9NXG6
IPI00328954,Q86W11
IPI00328960,Q86VR7
IPI00328963,Q86XS5
IPI00328970,Q86W26
IPI00328972,Q7RTR0
IPI00328978,P56202
IPI00328985,Q86W42
IPI00328987,Q13895
IPI00328996,Q86VV4
IPI00329001,Q8WXI8
IPI00329002,Q86VW0
IPI00329005,Q6ULP2
IPI00329014,Q86W74
IPI00329024,Q05D60
IPI00329025,Q8N5M9
IPI00329027,Q86VZ1
IPI00329028,Q86VZ2
IPI00329030,Q86VZ6
IPI00329033,P31513
IPI00329036,Q8N5N7
IPI00329038,Q96SN8
IPI00329039,Q96SN8
IPI00329053,Q96K21
IPI00329054,Q86WC4
IPI00329057,Q96ME1
IPI00329070,Q9BSF8
IPI00329075,O60237
IPI00329085,Q86WI3
IPI00329088,Q86WJ1
IPI00329100,Q86WN2
IPI00329104,Q8N6C8
IPI00329108,O95171
IPI00329109,Q6TCH7
IPI00329115,Q86WR7
IPI00329117,Q86X19
IPI00329125,Q86SZ2
IPI00329131,Q86X40
IPI00329132,Q5SQI0
IPI00329133,Q86WU2
IPI00329141,Q86X52
IPI00329142,Q86X53
IPI00329143,Q7Z6J9
IPI00329150,Q5TYM5
IPI00329152,Q9ULH7
IPI00329161,Q86UP8
IPI00329164,Q5D0E6
IPI00329168,A6NMN3
IPI00329181,Q9NV64
IPI00329185,P16885
IPI00329192,Q86XA9
IPI00329209,Q86XE3
IPI00329213,Q92835
IPI00329216,Q9Y6K1
IPI00329227,Q5H9L4
IPI00329230,Q86XJ0
IPI00329233,Q15935
IPI00329236,Q05655
IPI00329238,Q86XK3
IPI00329240,O76014
IPI00329245,Q86XL3
IPI00329251,Q86XM0
IPI00329259,Q86XN6
IPI00329260,Q86XN7
IPI00329264,Q86XP1
IPI00329266,Q86XP6
IPI00329274,Q16635
IPI00329275,Q86Y07
IPI00329276,Q86XR2
IPI00329279,Q86XR5
IPI00329281,Q86XR7
IPI00329283,Q96SA4
IPI00329289,Q86Y28
IPI00329290,Q86Y29
IPI00329291,Q9Y3M8
IPI00329296,Q8TCT9
IPI00329301,Q86Y39
IPI00329306,Q7RTS7
IPI00329321,Q5U5X0
IPI00329331,Q16851
IPI00329332,Q86Y82
IPI00329338,P49585
IPI00329345,Q86XZ4
IPI00329352,Q15155
IPI00329355,Q99729
IPI00329356,P0C7W6
IPI00329357,Q0P670
IPI00329367,Q86YC3
IPI00329369,Q60I27
IPI00329373,Q5XKP0
IPI00329383,Q86YH2
IPI00329385,Q9Y217
IPI00329410,Q86YN1
IPI00329411,Q92915
IPI00329422,Q86YQ2
IPI00329425,Q9UH73
IPI00329436,Q86Z20
IPI00329440,Q52M75
IPI00329441,Q86YS6
IPI00329444,Q68CK6
IPI00329445,Q86YT5
IPI00329467,Q401N2
IPI00329470,Q8N8K9
IPI00329471,A1L3X4
IPI00329480,Q8N8Q9
IPI00329482,Q16363
IPI00329484,Q9Y6A1
IPI00329485,Q9Y6A1
IPI00329488,P42684
IPI00329494,Q9UBL9
IPI00329495,O14639
IPI00329497,O95803
IPI00329502,Q9ULD8
IPI00329503,Q9NZQ8
IPI00329512,P14678
IPI00329515,Q86X24
IPI00329517,Q5JS13
IPI00329525,Q9UQF0
IPI00329526,Q12834
IPI00329528,Q9Y4B6
IPI00329535,P49746
IPI00329536,Q15075
IPI00329538,Q16651
IPI00329545,Q5T8P6
IPI00329547,Q5T200
IPI00329548,Q8WUD6
IPI00329552,Q969Z3
IPI00329555,P08709
IPI00329556,Q8NDM7
IPI00329560,Q8WZA2
IPI00329561,Q8WZA2
IPI00329562,Q8WZA2
IPI00329563,O14933
IPI00329568,Q8NA23
IPI00329572,Q9UKS6
IPI00329573,Q99715
IPI00329576,Q6ZVN8
IPI00329577,Q9BY66
IPI00329580,Q8IX30
IPI00329582,Q8N468
IPI00329583,Q8NB90
IPI00329589,Q9NQV5
IPI00329590,Q9NQ55
IPI00329591,Q9NWS8
IPI00329593,Q9BRR6
IPI00329594,Q9P031
IPI00329596,Q9Y320
IPI00329598,Q8NBQ5
IPI00329599,Q9Y5J5
IPI00329600,Q8NBX0
IPI00329602,Q9ULV3
IPI00329605,P20585
IPI00329625,Q969Z0
IPI00329626,Q8NDN9
IPI00329629,Q99615
IPI00329633,P26639
IPI00329635,Q8NFG4
IPI00329637,Q5T5J6
IPI00329638,Q9NYL2
IPI00329641,Q8NET8
IPI00329644,Q8NEY3
IPI00329648,Q9UKY4
IPI00329649,Q9UKY4
IPI00329650,Q8NFH5
IPI00329653,O75128
IPI00329662,Q9NRY5
IPI00329663,Q9H7H0
IPI00329664,Q9HAU4
IPI00329665,Q5QNW6
IPI00329667,Q6PII5
IPI00329668,Q86YV0
IPI00329671,Q569K4
IPI00329672,Q12965
IPI00329675,Q8N769
IPI00329676,Q11203
IPI00329679,Q9H900
IPI00329688,Q9GZM5
IPI00329692,P30419
IPI00329695,Q8N4C6
IPI00329696,Q96DB5
IPI00329702,Q9BPX1
IPI00329707,Q5H9F3
IPI00329708,Q4FZB7
IPI00329719,O94832
IPI00329723,Q53H54
IPI00329727,O95398
IPI00329733,O00499
IPI00329737,Q9BTP7
IPI00329742,Q96GK7
IPI00329748,Q96GS4
IPI00329749,Q8TB24
IPI00329753,Q96GY0
IPI00329755,Q01543
IPI00329756,Q96HA8
IPI00329757,Q7LDG7
IPI00329760,Q13438
IPI00329771,Q9P2N4
IPI00329775,Q96IY4
IPI00329783,Q12802
IPI00329784,Q15413
IPI00329786,Q8IZ96
IPI00329788,Q16635
IPI00329789,P43403
IPI00329790,Q16635
IPI00329791,Q7L014
IPI00329801,P08758
IPI00329820,Q9H568
IPI00329828,Q8N9Y4
IPI00332050,Q86V97
IPI00332058,Q15884
IPI00332071,Q9BZE9
IPI00332082,O15265
IPI00332085,Q96RB7
IPI00332091,O75818
IPI00332094,Q5T4F4
IPI00332095,Q9H6U6
IPI00332097,Q9H6U6
IPI00332106,Q96AQ6
IPI00332110,P29590
IPI00332144,Q8IWG1
IPI00332155,Q7Z2K8
IPI00332157,Q6P161
IPI00332187,P34949
IPI00332192,Q9H293
IPI00332215,Q9Y463
IPI00332220,Q3LI64
IPI00332221,Q3LI67
IPI00332223,Q3LI61
IPI00332250,Q8NG48
IPI00332271,Q13332
IPI00332272,Q13332
IPI00332273,Q13332
IPI00332278,Q86T03
IPI00332279,Q86T03
IPI00332282,O60260
IPI00332283,O60260
IPI00332293,Q96FC9
IPI00332343,Q9UQB9
IPI00332347,O00305
IPI00332356,Q8N7P3
IPI00332362,Q8N7N1
IPI00332367,Q96L73
IPI00332371,P17858
IPI00332373,Q8N4H0
IPI00332376,P62837
IPI00332386,Q7Z403
IPI00332395,Q8IYJ1
IPI00332396,Q6BCY4
IPI00332397,P15529
IPI00332399,P15529
IPI00332401,P15529
IPI00332413,Q8NBK3
IPI00332428,Q9BXY0
IPI00332433,Q8N7U9
IPI00332449,P29122
IPI00332451,P49116
IPI00332453,Q9UDY2
IPI00332462,Q8IVS8
IPI00332493,Q8TD55
IPI00332499,P49321
IPI00332511,P63151
IPI00332552,Q9NUA8
IPI00332567,Q9BZ29
IPI00332572,Q8N9N5
IPI00332575,Q7RTX1
IPI00332604,Q86XR2
IPI00332623,Q01955
IPI00332628,Q7RTS5
IPI00332633,Q8WWW0
IPI00332642,Q9H6K1
IPI00332662,Q8IUI4
IPI00332687,Q8NFH8
IPI00332692,Q9P1W9
IPI00332744,Q96JC1
IPI00332754,A6NEL3
IPI00332760,Q15414
IPI00332777,O60299
IPI00332794,O75410
IPI00332823,P10070
IPI00332828,O00748
IPI00332838,P11362
IPI00332841,Q13905
IPI00332846,Q8NFY4
IPI00332864,P23763
IPI00332872,Q8N7X0
IPI00332882,P51168
IPI00332890,Q13106
IPI00332932,Q15032
IPI00332933,Q8IW36
IPI00332936,Q7Z2W4
IPI00332938,Q9UJT1
IPI00332950,Q9NR50
IPI00332963,Q16665
IPI00332969,O00167
IPI00332970,Q96AX2
IPI00332991,O43439
IPI00333010,Q8IWX8
IPI00333014,Q8IX90
IPI00333015,Q01082
IPI00333016,Q9NVH1
IPI00333040,P27986
IPI00333063,O94876
IPI00333067,Q5GLZ8
IPI00333068,Q92747
IPI00333077,Q02086
IPI00333095,Q96GZ6
IPI00333126,Q8IYG6
IPI00333134,O43426
IPI00333140,Q8NFT8
IPI00333141,Q6ZMD2
IPI00333143,P23743
IPI00333174,P26436
IPI00333194,Q06455
IPI00333201,Q13569
IPI00333208,Q8IZS5
IPI00333212,Q8IZR5
IPI00333215,P23193
IPI00333218,P49450
IPI00333246,Q5JWF8
IPI00333264,Q5JQC9
IPI00333276,Q8IVL0
IPI00333314,Q03923
IPI00333317,O75475
IPI00333325,Q7Z6J2
IPI00333327,Q96KN7
IPI00333338,Q53QV2
IPI00333359,Q8IZQ8
IPI00333371,Q9Y468
IPI00333405,Q2WGJ9
IPI00333410,Q7Z7E8
IPI00333419,Q08378
IPI00333420,P78362
IPI00333449,Q86T29
