Accession,Protein
IPI00003004,Q9H936
IPI00003009,Q32MQ0
IPI00003012,Q9H305
IPI00003016,Q9NRL3
IPI00003021,P50993
IPI00003025,A0PJE2
IPI00003027,Q9H840
IPI00003030,Q9H7X2
IPI00003031,Q96AB3
IPI00003035,Q9H079
IPI00003044,O14511
IPI00003048,P34969
IPI00003052,Q5TC63
IPI00003057,Q8IY33
IPI00003058,P26951
IPI00003060,P34972
IPI00003065,P34981
IPI00003067,P34982
IPI00003072,P01562
IPI00003074,P01566
IPI00003075,P01567
IPI00003077,P01569
IPI00003081,P34995
IPI00003083,P34998
IPI00003084,Q14919
IPI00003086,P01570
IPI00003087,P01571
IPI00003088,P01574
IPI00003091,Q16821
IPI00003096,P01583
IPI00003099,P60568
IPI00003101,P01589
IPI00003102,P26992
IPI00003110,Q5VTD9
IPI00003111,P01594
IPI00003128,O15460
IPI00003131,Q9BRL7
IPI00003145,P45983
IPI00003148,P53779
IPI00003168,O60256
IPI00003176,Q92743
IPI00003191,Q86X67
IPI00003217,Q99436
IPI00003221,Q9H560
IPI00003269,Q562R1
IPI00003271,Q5T5D7
IPI00003293,P52429
IPI00003309,P52434
IPI00003311,P62875
IPI00003318,Q9UHR6
IPI00003320,P61165
IPI00003325,P36402
IPI00003326,P36404
IPI00003327,P36405
IPI00003328,P36406
IPI00003330,Q9NTU4
IPI00003337,Q16600
IPI00003348,P62879
IPI00003351,Q16610
IPI00003353,Q16612
IPI00003354,Q16613
IPI00003355,Q16617
IPI00003357,Q16619
IPI00003362,P11021
IPI00003363,Q9UD71
IPI00003365,Q9Y3Q7
IPI00003366,Q16620
IPI00003367,Q16621
IPI00003369,Q9UGP4
IPI00003370,Q16623
IPI00003373,Q16625
IPI00003375,Q16627
IPI00003377,Q16629
IPI00003384,Q9NYQ6
IPI00003386,P62877
IPI00003389,Q9Y619
IPI00003392,Q9Y2B1
IPI00003394,Q16637
IPI00003400,P11049
IPI00003402,Q9H2X3
IPI00003406,Q16643
IPI00003411,Q16647
IPI00003419,O00193
IPI00003420,Q15555
IPI00003421,Q16650
IPI00003425,Q16654
IPI00003426,Q16655
IPI00003428,Q16656
IPI00003431,Q16659
IPI00003437,Q16661
IPI00003438,O75937
IPI00003440,Q16663
IPI00003441,Q9UBS9
IPI00003442,Q16665
IPI00003443,Q16666
IPI00003445,Q16667
IPI00003446,Q16671
IPI00003448,Q16674
IPI00003449,Q16676
IPI00003451,Q16678
IPI00003455,Q9BTX1
IPI00003467,P28472
IPI00003469,P01610
IPI00003470,P01611
IPI00003478,Q16690
IPI00003479,P28482
IPI00003480,Q16696
IPI00003482,Q16698
IPI00003483,O76050
IPI00003484,Q9Y345
IPI00003494,O95997
IPI00003495,Q9Y4C4
IPI00003501,O95136
IPI00003503,Q14590
IPI00003505,Q15645
IPI00003515,Q15643
IPI00003519,Q15029
IPI00003527,O14745
IPI00003531,Q93033
IPI00003542,O60235
IPI00003562,O43513
IPI00003564,O95711
IPI00003565,O75832
IPI00003566,Q86YM7
IPI00003571,Q9NZU7
IPI00003588,O43324
IPI00003590,O00391
IPI00003591,O60759
IPI00003606,Q9UBS8
IPI00003627,O96019
IPI00003635,Q969X5
IPI00003647,O60671
IPI00003648,Q15223
IPI00003704,Q9BWF3
IPI00003706,Q15434
IPI00003739,Q9Y6V7
IPI00003750,Q9GZU1
IPI00003765,Q9Y6W3
IPI00003766,O95571
IPI00003768,O00541
IPI00003774,O95455
IPI00003780,Q53HV7
IPI00003783,P36507
IPI00003784,P36508
IPI00003789,Q9BTE0
IPI00003793,Q9Y2U9
IPI00003798,Q9UDV7
IPI00003799,Q9Y5Z4
IPI00003801,Q9HBE1
IPI00003802,Q16706
IPI00003807,P11117
IPI00003813,Q9BY67
IPI00003814,P52564
IPI00003815,P52565
IPI00003817,P52566
IPI00003818,Q16719
IPI00003819,P52569
IPI00003824,Q13356
IPI00003827,Q9UG56
IPI00003831,Q16720
IPI00003833,Q9Y6C9
IPI00003834,Q86VR8
IPI00003835,Q08708
IPI00003836,P36537
IPI00003842,P11137
IPI00003843,Q9UDY2
IPI00003847,O75467
IPI00003848,Q9UDY4
IPI00003856,P36543
IPI00003859,Q9Y6Z4
IPI00003861,Q16739
IPI00003865,P11142
IPI00003867,O14633
IPI00003869,Q9ULY5
IPI00003870,Q16740
IPI00003871,Q9Y5H4
IPI00003881,P52597
IPI00003882,P11150
IPI00003884,Q9Y5G9
IPI00003885,Q9Y5G8
IPI00003886,Q9BVP2
IPI00003887,Q9Y5G7
IPI00003888,Q9Y5G6
IPI00003889,Q9Y5G4
IPI00003893,Q9Y5G1
IPI00003894,Q9Y3C5
IPI00003896,Q9Y5G0
IPI00003897,Q9Y5F9
IPI00003898,Q9UJ42
IPI00003904,Q9Y5F8
IPI00003905,P11168
IPI00003907,Q9Y5F6
IPI00003909,P11169
IPI00003915,Q9Y2Y4
IPI00003917,P36575
IPI00003918,P36578
IPI00003919,Q16769
IPI00003921,P11171
IPI00003922,Q5TEJ8
IPI00003923,P11172
IPI00003925,P11177
IPI00003926,Q9UBY8
IPI00003927,Q08752
IPI00003928,P28562
IPI00003929,Q16772
IPI00003932,P28566
